rank, p, n, total, time/gen, comm/gen, comp/gen, display/gen, comm/display, sendrecv/gen, barrier/gen
5, 8, 512, 917.339000, 9.173390, 5.682570, 3.490820, 0.001080, 0.054000, 0.026700, 5.655870
3, 8, 512, 919.068000, 9.190680, 7.462630, 1.728050, 0.000250, 0.012500, 0.282330, 7.180300
6, 8, 512, 915.291000, 9.152910, 5.498990, 3.653920, 0.001170, 0.058500, 0.021490, 5.477500
7, 8, 512, 913.488000, 9.134880, 5.892790, 3.242090, 0.001270, 0.063000, 5.382170, 0.510620
0, 8, 1024, 1534.359000, 15.343590, 6.596130, 8.747460, 181.195750, 45.132000, 0.625910, 5.970220
1, 8, 1024, 19658.554000, 196.585540, 186.653600, 9.931940, 0.002480, 0.124000, 181.247260, 5.406340
3, 8, 1024, 19658.324000, 196.583240, 187.895410, 8.687830, 0.002890, 0.144500, 0.458610, 187.436800
2, 8, 1024, 19658.575000, 196.585750, 187.809230, 8.776520, 0.002370, 0.118500, 0.005630, 187.803600
7, 8, 1024, 19652.575000, 196.525750, 183.007850, 13.517900, 0.012940, 0.647000, 181.517510, 1.490340
4, 8, 1024, 19657.556000, 196.575560, 182.296730, 14.278830, 0.011870, 0.593000, 0.786340, 181.510390
6, 8, 1024, 19653.897000, 196.538970, 183.708220, 12.830750, 0.012200, 0.609500, 0.029100, 183.679120
5, 8, 1024, 19655.850000, 196.558500, 183.826740, 12.731760, 0.012710, 0.635500, 0.059920, 183.766820
0, 8, 2048, 6094.457000, 60.944570, 22.769720, 38.174850, 648.800170, 179.398000, 1.057920, 21.711800
2, 8, 2048, 70977.410000, 709.774100, 671.780480, 37.993620, 0.010440, 0.522000, 0.009080, 671.771400
1, 8, 2048, 70976.880000, 709.768800, 671.532850, 38.235950, 0.013960, 0.697500, 648.832660, 22.700190
5, 8, 2048, 70735.493000, 707.354930, 656.652850, 50.702080, 2.329760, 116.487000, 0.506650, 656.146200
3, 8, 2048, 70977.358000, 709.773580, 671.742590, 38.030990, 0.010880, 0.543500, 3.761250, 667.981340
6, 8, 2048, 70686.738000, 706.867380, 655.656080, 51.211300, 2.806680, 140.333500, 0.220610, 655.435470
4, 8, 2048, 70728.726000, 707.287260, 655.847930, 51.439330, 2.408570, 120.428000, 1.676410, 654.171520
7, 8, 2048, 70680.207000, 706.802070, 646.826060, 59.976010, 2.862540, 143.126500, 646.457960, 0.368100
0, 16, 16, 79.614000, 0.796140, 0.794900, 0.001240, 0.209490, 4.840500, 0.090820, 0.704080
2, 16, 16, 128.850000, 1.288500, 1.286860, 0.001640, 0.000090, 0.004500, 0.001210, 1.285650
6, 16, 16, 118.883000, 1.188830, 1.186890, 0.001940, 0.000330, 0.016000, 0.401140, 0.785750
1, 16, 16, 128.856000, 1.288560, 1.287370, 0.001190, 0.000030, 0.001000, 0.496110, 0.791260
5, 16, 16, 126.346000, 1.263460, 1.260390, 0.003070, 0.000330, 0.016000, 0.170660, 1.089730
12, 16, 16, 107.504000, 1.075040, 1.073800, 0.001240, 0.000090, 0.004500, 0.121480, 0.952320
14, 16, 16, 102.798000, 1.027980, 1.026880, 0.001100, 0.000090, 0.004500, 0.024210, 1.002670
4, 16, 16, 128.746000, 1.287460, 1.285020, 0.002440, 0.000190, 0.009500, 0.116910, 1.168110
9, 16, 16, 114.311000, 1.143110, 1.141150, 0.001960, 0.000160, 0.008000, 0.028490, 1.112660
11, 16, 16, 109.774000, 1.097740, 1.095620, 0.002120, 0.000160, 0.007500, 0.103800, 0.991820
3, 16, 16, 128.857000, 1.288570, 1.287310, 0.001260, 0.000030, 0.001500, 0.077920, 1.209390
8, 16, 16, 116.675000, 1.166750, 1.164860, 0.001890, 0.000150, 0.007000, 0.512440, 0.652420
7, 16, 16, 116.646000, 1.166460, 1.164450, 0.002010, 0.000250, 0.012500, 0.121520, 1.042930
15, 16, 16, 100.482000, 1.004820, 1.003690, 0.001130, 0.000080, 0.004000, 0.255800, 0.747890
10, 16, 16, 111.999000, 1.119990, 1.117660, 0.002330, 0.000220, 0.010500, 0.024730, 1.092930
13, 16, 16, 105.117000, 1.051170, 1.050070, 0.001100, 0.000090, 0.004500, 0.026620, 1.023450
2, 16, 32, 71.335000, 0.713350, 0.709210, 0.004140, 0.000060, 0.002500, 0.017840, 0.691370
6, 16, 32, 66.445000, 0.664450, 0.657800, 0.006650, 0.000210, 0.010000, 0.024970, 0.632830
1, 16, 32, 71.336000, 0.713360, 0.709200, 0.004160, 0.000050, 0.002500, 0.365440, 0.343760
3, 16, 32, 71.336000, 0.713360, 0.709260, 0.004100, 0.000050, 0.002000, 0.207040, 0.502220
8, 16, 32, 64.225000, 0.642250, 0.634540, 0.007710, 0.000250, 0.012000, 0.319250, 0.315290
0, 16, 32, 35.056000, 0.350560, 0.346600, 0.003960, 0.131130, 3.283500, 0.217730, 0.128870
5, 16, 32, 68.748000, 0.687480, 0.680810, 0.006670, 0.000260, 0.012500, 0.029660, 0.651150
11, 16, 32, 57.430000, 0.574300, 0.567870, 0.006430, 0.000160, 0.008000, 0.234600, 0.333270
12, 16, 32, 55.208000, 0.552080, 0.548640, 0.003440, 0.000090, 0.004000, 0.254530, 0.294110
13, 16, 32, 52.693000, 0.526930, 0.523510, 0.003420, 0.000140, 0.007000, 0.026410, 0.497100
14, 16, 32, 50.375000, 0.503750, 0.499940, 0.003810, 0.000100, 0.005000, 0.024250, 0.475690
9, 16, 32, 61.915000, 0.619150, 0.612400, 0.006750, 0.000210, 0.009500, 0.028140, 0.584260
7, 16, 32, 64.196000, 0.641960, 0.635060, 0.006900, 0.000250, 0.012500, 0.143860, 0.491200
15, 16, 32, 48.083000, 0.480830, 0.477170, 0.003660, 0.000070, 0.003500, 0.192880, 0.284290
4, 16, 32, 71.176000, 0.711760, 0.703730, 0.008030, 0.000170, 0.008000, 0.266020, 0.437710
10, 16, 32, 59.679000, 0.596790, 0.590050, 0.006740, 0.000220, 0.010000, 0.024560, 0.565490
2, 16, 64, 83.574000, 0.835740, 0.821230, 0.014510, 0.000040, 0.001500, 0.001600, 0.819630
5, 16, 64, 77.295000, 0.772950, 0.748630, 0.024320, 0.000210, 0.010500, 0.029180, 0.719450
1, 16, 64, 83.573000, 0.835730, 0.821990, 0.013740, 0.000050, 0.002500, 0.446990, 0.375000
3, 16, 64, 83.572000, 0.835720, 0.820890, 0.014830, 0.000060, 0.003000, 0.193210, 0.627680
4, 16, 64, 83.488000, 0.834880, 0.797920, 0.036960, 0.000200, 0.010000, 0.312230, 0.485690
0, 16, 64, 39.185000, 0.391850, 0.378390, 0.013460, 0.174500, 2.187500, 0.239540, 0.138850
6, 16, 64, 75.019000, 0.750190, 0.723940, 0.026250, 0.000270, 0.012500, 0.024510, 0.699430
